Date,Category,Region,Revenue,Units,Advertising Spend
2026-02-20,Home,East,432.79,6,83.36
2026-02-21,Clothing,North,483.89,5,96.84
2026-02-21,Books,South,430.43,10,82.23
2026-02-22,Electronics,East,507.42,5,99.47
2026-02-22,Home,North,391.02,1,76.26
2026-02-23,Clothing,South,477.16,3,90.29
2026-02-23,Books,East,388.56,6,79.27
2026-02-24,Electronics,North,339.89,4,73.43
2026-02-24,Home,South,464.44,6,88.61
2026-02-25,Clothing,East,431.34,5,86.13
2026-02-25,Books,North,372.7,7,87.5
2026-02-26,Electronics,South,384.12,9,90.11
2026-02-26,Home,East,420.26,2,79.79
2026-02-27,Clothing,North,507.94,6,94.89
2026-02-27,Books,South,381.64,5,77.69
2026-02-28,Electronics,East,433.02,10,94.22
2026-02-28,Home,North,468.6,6,90.32
2026-03-01,Clothing,South,382.58,5,81.96
2026-03-01,Books,East,441.33,11,86.12
2026-03-02,Electronics,North,422.54,2,81.87
2026-03-02,Home,South,415.25,9,81.2
2026-03-03,Clothing,East,435.77,2,81.11
2026-03-03,Books,North,431.66,10,84.63
2026-03-04,Electronics,South,452.42,8,88.15
2026-03-04,Home,East,483.71,7,103.34
2026-03-05,Clothing,North,478.87,2,101.74
2026-03-05,Books,South,537.36,1,105.3
2026-03-06,Electronics,East,513.52,3,106.38
2026-03-06,Home,North,467.32,9,89.28
2026-03-07,Clothing,South,489.42,2,101.17
2026-03-07,Books,East,382.14,10,82.45
2026-03-08,Electronics,North,454.53,8,99.42
2026-03-08,Home,South,425.07,6,86.31
2026-03-09,Clothing,East,382.46,12,89.07
2026-03-09,Books,North,529.84,5,113.67
2026-03-10,Electronics,South,495.95,7,108.38
2026-03-10,Home,East,532.57,2,108.83
2026-03-11,Clothing,North,490.44,3,98.58
2026-03-11,Books,South,437.9,6,87.85
2026-03-12,Electronics,East,455.5,6,88.02
2026-03-12,Home,North,,6,90.53
2026-03-13,Clothing,South,419.83,8,94.65
2026-03-13,Books,East,575.74,6,117.12
2026-03-14,Electronics,North,424.66,4,92.82
2026-03-14,Home,South,483.67,2,91.89
2026-03-15,Clothing,East,494.68,11,107.67
2026-03-15,Books,North,527.13,5,113.74
2026-03-16,Electronics,South,514.49,11,117.89
2026-03-16,Home,East,519.79,1,99.73
2026-03-17,Clothing,North,496.68,8,102.5
2026-03-17,Books,South,440.43,8,95.14
2026-03-18,Electronics,East,433.34,9,94.72
2026-03-18,Home,North,540.48,3,103.74
2026-03-19,Clothing,South,446.89,7,106.52
2026-03-19,Books,East,413.26,2,100.57
2026-03-20,Electronics,North,457.75,7,103.28
2026-03-20,Home,South,517.29,6,116.65
2026-03-21,Clothing,East,462.99,9,108.78
2026-03-21,Books,North,547.68,12,118.45
2026-03-22,Electronics,South,446.15,11,94.8
2026-03-22,Home,East,487.01,1,98.83
2026-03-23,Clothing,North,522.78,8,109.85
2026-03-23,Books,South,491.49,3,110.96
2026-03-24,Electronics,East,488.67,4,113.9
2026-03-24,Home,North,601.49,5,124.01
2026-03-25,Clothing,South,515.28,2,97.66
2026-03-25,Books,East,497.23,10,117.69
2026-03-26,Electronics,North,495.13,11,107.11
2026-03-26,Home,South,525.59,5,120.28
2026-03-27,Clothing,East,532.61,3,125.4
2026-03-27,Books,North,472.88,2,98.68
2026-03-28,Electronics,South,484.5,2,112.84
2026-03-28,Home,East,530.58,7,104.46
2026-03-29,Clothing,North,455.23,8,99.8
2026-03-29,Books,South,431.63,5,101.86
2026-03-30,Electronics,East,523.6,10,114.75
2026-03-30,Home,North,539.66,6,116.57
2026-03-31,Clothing,South,570.34,11,126.83
2026-03-31,Books,East,551.14,11,118.52
2026-04-01,Electronics,North,467.01,1,112.34
2026-04-01,Home,South,571.48,8,113.63
2026-04-02,Clothing,East,507.07,9,108.15
2026-04-02,Books,North,495.88,8,114.58
2026-04-03,Electronics,South,461.35,10,110.82
2026-04-03,Home,East,562.02,4,108.2
2026-04-04,Clothing,North,608.43,7,133.97
2026-04-04,Books,South,561.73,7,128.37
2026-04-05,Electronics,East,,9,129.37
2026-04-05,Home,North,530.43,4,108.37
2026-04-06,Clothing,South,567.92,5,112.27
2026-04-06,Books,East,603.53,7,127.27
2026-04-07,Electronics,North,599.04,12,133.28
2026-04-07,Home,South,575.28,12,123.8
2026-04-08,Clothing,East,569.87,12,115.32
2026-04-08,Books,North,617.1,11,135.51
2026-04-09,Electronics,South,556.22,1,115.34
2026-04-09,Home,East,512.82,9,125.35
2026-04-10,Clothing,North,471.2,3,112.41
2026-04-10,Books,South,635.03,4,126.55
2026-04-11,Electronics,East,583.53,12,124.28
2026-04-11,Home,North,587.31,12,117.29
2026-04-12,Clothing,South,576.77,1,116.18
2026-04-12,Books,East,600.91,7,131.51
2026-04-13,Electronics,North,589.56,10,121.82
2026-04-13,Home,South,618.84,2,132.39
2026-04-14,Clothing,East,524.87,6,117.03
2026-04-14,Books,North,581.65,7,126.27
2026-04-15,Electronics,South,519.48,9,124.83
2026-04-15,Home,East,517.6,5,118.62
2026-04-16,Clothing,North,515.4,7,117.21
2026-04-16,Books,South,623.44,8,132.5
2026-04-17,Electronics,East,541.96,7,124.58
2026-04-17,Home,North,609.12,5,143.49
2026-04-18,Clothing,South,652.93,2,137.06
2026-04-18,Books,East,655.68,10,137.05
2026-04-19,Electronics,North,631.39,7,145.4
2026-04-19,Home,South,614.31,12,130.69
2026-04-20,Clothing,East,561.77,4,127.65
2026-04-20,Books,North,524.29,2,118.28
2026-04-21,Electronics,South,558.45,3,124.96
2026-04-21,Home,East,598.56,2,124.57
2026-04-22,Clothing,North,625.21,10,134.63
2026-04-22,Books,South,667.86,11,146.76
2026-04-23,Electronics,East,551.01,3,123.74
2026-04-23,Home,North,708.1,8,145.97
2026-04-24,Clothing,South,560.16,1,135.06
2026-04-24,Books,East,572.75,2,137.29
2026-04-25,Electronics,North,625.85,11,150.89
2026-04-25,Home,South,610.11,12,127.9
2026-04-26,Clothing,East,573.81,9,132.52
2026-04-26,Books,North,605.89,7,126.47
2026-04-27,Electronics,South,673.71,8,145.64
2026-04-27,Home,East,691.44,8,144.04
2026-04-28,Clothing,North,701.88,7,149.1
2026-04-28,Books,South,,11,149.57
2026-04-29,Electronics,East,614.51,3,130.47
2026-04-29,Home,North,593.42,12,136.69
2026-04-30,Clothing,South,626.53,1,140.78
2026-04-30,Books,East,568.91,5,128.7
