Date,Source,Visitors,Page Views,Bounce Rate
2026-02-06,Organic,905,2715,45.4
2026-02-06,Direct,455,1365,37.0
2026-02-07,Social,631,2524,44.2
2026-02-07,Organic,969,2907,22.2
2026-02-08,Direct,780,2340,63.5
2026-02-08,Social,977,2931,36.9
2026-02-09,Organic,214,856,23.4
2026-02-09,Direct,889,2667,65.2
2026-02-10,Social,260,1040,63.5
2026-02-10,Organic,874,3496,27.9
2026-02-11,Direct,575,1725,25.3
2026-02-11,Social,762,3048,58.9
2026-02-12,Organic,378,1512,32.5
2026-02-12,Direct,934,1868,24.5
2026-02-13,Social,354,1062,65.7
2026-02-13,Organic,928,3712,69.0
2026-02-14,Direct,876,2628,49.2
2026-02-14,Social,839,2517,65.5
2026-02-15,Organic,740,1480,39.4
2026-02-15,Direct,477,954,54.5
2026-02-16,Social,474,948,68.4
2026-02-16,Organic,321,1284,30.3
2026-02-17,Direct,342,684,47.0
2026-02-17,Social,466,932,26.3
2026-02-18,Organic,825,1650,56.4
2026-02-18,Direct,699,2796,65.5
2026-02-19,Social,588,2352,46.5
2026-02-19,Organic,419,1257,42.6
2026-02-20,Direct,356,1424,66.1
2026-02-20,Social,887,1774,40.5
2026-02-21,Organic,874,2622,31.2
2026-02-21,Direct,839,3356,53.7
2026-02-22,Social,563,1126,29.1
2026-02-22,Organic,554,1108,38.5
2026-02-23,Direct,883,2649,44.3
2026-02-23,Social,522,1044,31.0
2026-02-24,Organic,215,645,57.4
2026-02-24,Direct,679,1358,63.1
2026-02-25,Social,842,2526,61.6
2026-02-25,Organic,974,2922,31.1
2026-02-26,Direct,872,1744,31.8
2026-02-26,Social,790,3160,42.4
2026-02-27,Organic,694,2082,51.6
2026-02-27,Direct,293,1172,63.2
2026-02-28,Social,801,3204,29.4
2026-02-28,Organic,941,2823,69.5
2026-03-01,Direct,880,2640,23.3
2026-03-01,Social,815,3260,27.1
2026-03-02,Organic,906,3624,61.4
2026-03-02,Direct,570,1710,29.6
2026-03-03,Social,566,2264,26.6
2026-03-03,Organic,596,2384,56.0
2026-03-04,Direct,422,1266,53.9
2026-03-04,Social,278,1112,44.0
2026-03-05,Organic,751,1502,61.6
2026-03-05,Direct,310,930,31.2
2026-03-06,Social,370,1480,43.5
2026-03-06,Organic,524,1048,35.1
2026-03-07,Direct,757,3028,32.1
2026-03-07,Social,600,1200,67.7
2026-03-08,Organic,248,744,59.4
2026-03-08,Direct,412,1648,43.2
2026-03-09,Social,438,876,35.8
2026-03-09,Organic,1034,2068,63.3
2026-03-10,Direct,427,1281,54.6
2026-03-10,Social,565,1130,24.0
2026-03-11,Organic,599,2396,69.9
2026-03-11,Direct,385,1540,53.9
2026-03-12,Social,935,2805,67.4
2026-03-12,Organic,431,1293,45.9
2026-03-13,Direct,380,760,42.6
2026-03-13,Social,550,1100,55.6
2026-03-14,Organic,749,1498,38.0
2026-03-14,Direct,1032,3096,61.2
2026-03-15,Social,432,864,41.6
2026-03-15,Organic,778,2334,62.3
2026-03-16,Direct,854,3416,27.7
2026-03-16,Social,1038,4152,33.2
2026-03-17,Organic,951,2853,34.9
2026-03-17,Direct,577,2308,69.4
2026-03-18,Social,505,1010,24.8
2026-03-18,Organic,416,1248,69.8
2026-03-19,Direct,303,606,34.1
2026-03-19,Social,629,1258,40.0
2026-03-20,Organic,894,3576,50.6
2026-03-20,Direct,298,596,21.9
2026-03-21,Social,889,3556,62.1
2026-03-21,Organic,948,1896,69.0
2026-03-22,Direct,857,2571,28.5
2026-03-22,Social,582,1746,27.6
2026-03-23,Organic,793,1586,48.0
2026-03-23,Direct,1053,4212,54.0
2026-03-24,Social,985,1970,54.5
2026-03-24,Organic,669,2007,67.7
2026-03-25,Direct,485,970,61.4
2026-03-25,Social,810,1620,51.9
2026-03-26,Organic,429,1287,52.6
2026-03-26,Direct,506,2024,56.9
2026-03-27,Social,460,1840,68.1
2026-03-27,Organic,827,3308,44.7
2026-03-28,Direct,286,1144,36.9
2026-03-28,Social,370,740,69.1
2026-03-29,Organic,860,1720,33.1
2026-03-29,Direct,929,2787,38.4
2026-03-30,Social,956,1912,58.1
2026-03-30,Organic,794,1588,48.6
2026-03-31,Direct,734,1468,42.7
2026-03-31,Social,282,1128,30.9
2026-04-01,Organic,698,1396,58.4
2026-04-01,Direct,958,3832,26.6
2026-04-02,Social,587,1761,53.7
2026-04-02,Organic,959,2877,50.7
2026-04-03,Direct,329,987,41.9
2026-04-03,Social,1076,4304,60.9
2026-04-04,Organic,723,2892,44.8
2026-04-04,Direct,771,1542,62.5
2026-04-05,Social,536,1608,30.2
2026-04-05,Organic,481,1924,56.2
2026-04-06,Direct,410,1640,70.0
2026-04-06,Social,837,3348,38.0
2026-04-07,Organic,715,1430,48.1
2026-04-07,Direct,876,1752,45.0
2026-04-08,Social,654,1308,27.0
2026-04-08,Organic,979,1958,58.2
2026-04-09,Direct,978,3912,65.6
2026-04-09,Social,1011,4044,41.5
2026-04-10,Organic,571,1713,24.0
2026-04-10,Direct,964,1928,24.7
2026-04-11,Social,639,2556,68.9
2026-04-11,Organic,1001,3003,65.0
2026-04-12,Direct,608,1216,48.2
2026-04-12,Social,657,1314,24.9
2026-04-13,Organic,765,2295,31.4
2026-04-13,Direct,389,1167,27.7
2026-04-14,Social,1085,3255,25.1
2026-04-14,Organic,919,2757,63.2
2026-04-15,Direct,697,1394,26.9
2026-04-15,Social,1047,4188,44.8
2026-04-16,Organic,750,3000,68.7
2026-04-16,Direct,1022,4088,44.6
2026-04-17,Social,870,1740,54.1
2026-04-17,Organic,455,1820,35.1
2026-04-18,Direct,1022,3066,47.2
2026-04-18,Social,678,1356,52.3
2026-04-19,Organic,847,3388,49.0
2026-04-19,Direct,619,1857,66.0
2026-04-20,Social,1031,3093,35.9
2026-04-20,Organic,884,1768,36.5
2026-04-21,Direct,948,1896,42.5
2026-04-21,Social,654,1308,42.9
2026-04-22,Organic,790,3160,28.6
2026-04-22,Direct,705,2820,27.1
2026-04-23,Social,825,2475,27.0
2026-04-23,Organic,831,2493,54.2
2026-04-24,Direct,876,2628,28.4
2026-04-24,Social,1101,2202,58.0
2026-04-25,Organic,684,1368,42.0
2026-04-25,Direct,471,942,60.7
2026-04-26,Social,603,2412,69.3
2026-04-26,Organic,466,932,27.3
2026-04-27,Direct,409,1636,59.7
2026-04-27,Social,1083,2166,56.5
2026-04-28,Organic,664,1992,36.9
2026-04-28,Direct,496,1488,42.8
2026-04-29,Social,705,2115,24.1
2026-04-29,Organic,338,676,43.8
2026-04-30,Direct,827,1654,31.4
2026-04-30,Social,1032,2064,23.4
