Student ID,Subject,Study Hours,Score,Attendance
S0118,Math,9.8,82.3,76
S0119,Science,4.5,66.9,68
S0120,English,9.7,90.1,74
S0121,Math,3.8,57.0,86
S0122,Science,4.3,59.3,76
S0123,English,5.6,68.6,98
S0124,Math,8.3,76.1,93
S0125,Science,3.1,51.3,95
S0126,English,9.7,93.6,73
S0127,Math,3.6,62.2,82
S0128,Science,4.7,61.8,88
S0129,English,2.2,47.6,95
S0130,Math,9.5,89.2,92
S0131,Science,2.0,56.5,99
S0132,English,4.7,66.1,70
S0133,Math,1.4,45.2,88
S0134,Science,2.2,48.6,86
S0135,English,8.0,79.3,83
S0136,Math,1.3,48.9,83
S0137,Science,7.7,84.8,89
S0138,English,4.9,72.4,76
S0139,Math,7.2,73.6,67
S0140,Science,5.6,72.0,75
S0141,English,4.3,68.7,67
S0142,Math,6.8,70.0,72
S0143,Science,2.9,56.3,96
S0144,English,7.0,78.4,100
S0145,Math,2.1,45.7,73
S0146,Science,3.8,67.0,95
S0147,English,5.7,62.6,100
S0148,Math,2.5,49.7,79
S0149,Science,3.7,59.0,97
S0150,English,8.4,74.5,67
S0151,Math,9.0,85.7,84
S0152,Science,2.8,55.7,85
S0153,English,2.0,45.9,72
S0154,Math,8.3,88.4,85
S0155,Science,5.5,75.0,78
S0156,English,4.9,70.6,88
S0157,Math,5.5,71.7,82
S0158,Science,7.8,74.2,97
S0159,English,2.3,58.4,85
S0160,Math,6.1,70.1,66
S0161,Science,8.0,84.4,79
S0162,English,6.2,74.2,77
S0163,Math,8.9,88.3,68
S0164,Science,5.1,66.0,99
S0165,English,3.5,54.3,84
S0166,Math,3.6,59.2,99
S0167,Science,4.1,59.6,81
S0168,English,7.7,74.3,68
S0169,Math,7.9,71.6,100
S0170,Science,6.8,80.5,70
S0171,English,9.4,79.6,90
S0172,Math,9.4,84.4,94
S0173,Science,4.0,63.7,81
S0174,English,8.4,82.2,70
S0175,Math,7.8,86.3,84
S0176,Science,2.4,55.0,84
S0177,English,4.4,65.2,95
S0178,Math,1.7,49.5,68
S0179,Science,2.8,55.3,70
S0180,English,8.3,85.1,90
S0181,Math,9.4,80.1,95
S0182,Science,8.8,90.5,89
S0183,English,2.1,58.2,65
S0184,Math,4.1,56.9,72
S0185,Science,1.3,48.1,68
S0186,English,8.3,85.2,85
S0187,Math,3.7,51.5,76
S0188,Science,4.7,60.3,76
S0189,English,4.7,62.2,98
S0190,Math,1.5,45.5,67
S0191,Science,9.6,80.2,77
S0192,English,9.2,86.8,83
S0193,Math,5.2,71.4,78
S0194,Science,4.8,58.4,86
S0195,English,6.8,73.8,75
S0196,Math,9.6,88.4,69
S0197,Science,3.0,54.3,68
S0198,English,7.5,78.1,83
S0199,Math,3.2,57.9,81
S0200,Science,3.7,63.7,70
S0201,English,2.5,52.5,92
S0202,Math,9.0,84.6,67
S0203,Science,9.7,89.9,90
S0204,English,7.8,73.2,70
S0205,Math,4.6,67.4,66
S0206,Science,7.9,76.2,80
S0207,English,2.0,42.1,84
S0208,Math,1.9,42.9,100
S0209,Science,9.1,93.2,98
S0210,English,5.4,60.2,81
S0211,Math,4.0,61.9,86
S0212,Science,3.8,66.4,85
S0213,English,4.3,68.4,77
S0214,Math,8.5,75.6,91
S0215,Science,5.0,66.6,90
S0216,English,6.7,66.9,80
S0217,Math,2.0,43.6,79
S0218,Science,5.5,65.0,66
S0219,English,5.7,66.1,71
S0220,Math,7.1,70.1,80
S0221,Science,2.7,56.0,90
S0222,English,6.2,75.8,99
S0223,Math,4.5,60.8,72
S0224,Science,2.2,44.9,84
S0225,English,5.4,67.6,76
S0226,Math,2.2,56.0,100
S0227,Science,8.2,76.5,67
S0228,English,3.4,57.7,88
S0229,Math,7.8,75.8,67
S0230,Science,4.2,64.4,92
S0231,English,2.5,60.2,83
S0232,Math,9.3,94.4,73
S0233,Science,2.3,53.6,91
S0234,English,9.6,85.2,65
S0235,Math,3.0,53.9,78
S0236,Science,7.9,72.2,94
S0237,English,8.9,81.3,82
S0238,Math,7.8,77.9,70
S0239,Science,7.3,81.6,92
S0240,English,2.2,55.4,73
