Date,City,Temperature,Rainfall,Humidity
2026-02-16,Cebu,26.5,0,90
2026-02-17,Manila,26.4,0,62
2026-02-17,Cebu,25.3,0,62
2026-02-18,Manila,26.7,9.9,74
2026-02-18,Cebu,24.2,0,60
2026-02-19,Manila,25.4,0,93
2026-02-19,Cebu,24.8,0,76
2026-02-20,Manila,24.3,12.5,60
2026-02-20,Cebu,26.8,0,82
2026-02-21,Manila,24.5,0,90
2026-02-21,Cebu,26.0,0,93
2026-02-22,Manila,24.8,9.9,59
2026-02-22,Cebu,26.6,0,91
2026-02-23,Manila,25.8,0,72
2026-02-23,Cebu,27.5,0,58
2026-02-24,Manila,25.2,5.7,69
2026-02-24,Cebu,26.5,0,91
2026-02-25,Manila,27.6,0,60
2026-02-25,Cebu,27.3,0,59
2026-02-26,Manila,25.5,3.0,93
2026-02-26,Cebu,28.0,0,91
2026-02-27,Manila,27.7,0,92
2026-02-27,Cebu,28.0,0,94
2026-02-28,Manila,27.4,7.5,58
2026-02-28,Cebu,27.3,0,94
2026-03-01,Manila,26.2,0,79
2026-03-01,Cebu,27.1,0,80
2026-03-02,Manila,28.4,10.3,88
2026-03-02,Cebu,29.3,0,64
2026-03-03,Manila,27.6,0,65
2026-03-03,Cebu,29.5,0,94
2026-03-04,Manila,28.5,6.6,73
2026-03-04,Cebu,28.0,0,61
2026-03-05,Manila,27.3,0,69
2026-03-05,Cebu,28.2,0,61
2026-03-06,Manila,29.2,13.6,56
2026-03-06,Cebu,27.6,0,81
2026-03-07,Manila,28.1,0,82
2026-03-07,Cebu,29.4,0,87
2026-03-08,Manila,29.0,11.0,95
2026-03-08,Cebu,30.2,0,95
2026-03-09,Manila,29.1,0,80
2026-03-09,Cebu,29.3,0,62
2026-03-10,Manila,29.6,12.0,72
2026-03-10,Cebu,30.6,0,74
2026-03-11,Manila,29.6,0,58
2026-03-11,Cebu,30.2,0,63
2026-03-12,Manila,30.1,11.4,91
2026-03-12,Cebu,31.8,0,62
2026-03-13,Manila,31.9,0,83
2026-03-13,Cebu,32.1,0,95
2026-03-14,Manila,31.1,7.0,90
2026-03-14,Cebu,29.7,0,75
2026-03-15,Manila,32.3,0,58
2026-03-15,Cebu,30.4,0,95
2026-03-16,Manila,31.7,10.8,93
2026-03-16,Cebu,30.4,0,91
2026-03-17,Manila,30.0,0,58
2026-03-17,Cebu,30.9,0,80
2026-03-18,Manila,30.8,5.8,94
2026-03-18,Cebu,31.3,0,74
2026-03-19,Manila,31.8,0,85
2026-03-19,Cebu,31.7,0,67
2026-03-20,Manila,30.4,1.5,78
2026-03-20,Cebu,32.1,0,85
2026-03-21,Manila,31.8,0,87
2026-03-21,Cebu,31.7,0,95
2026-03-22,Manila,31.9,9.3,79
2026-03-22,Cebu,32.0,0,81
2026-03-23,Manila,32.9,0,85
2026-03-23,Cebu,32.3,0,71
2026-03-24,Manila,31.3,7.2,90
2026-03-24,Cebu,32.2,0,73
2026-03-25,Manila,30.5,0,90
2026-03-25,Cebu,29.8,0,81
2026-03-26,Manila,32.2,7.1,67
2026-03-26,Cebu,32.0,0,57
2026-03-27,Manila,32.2,0,57
2026-03-27,Cebu,32.1,0,87
2026-03-28,Manila,30.1,10.1,67
2026-03-28,Cebu,30.5,0,70
2026-03-29,Manila,30.1,0,70
2026-03-29,Cebu,29.5,0,63
2026-03-30,Manila,30.8,8.9,60
2026-03-30,Cebu,29.1,0,75
2026-03-31,Manila,30.0,0,84
2026-03-31,Cebu,28.6,0,82
2026-04-01,Manila,30.5,14.7,81
2026-04-01,Cebu,30.7,0,62
2026-04-02,Manila,29.6,0,89
2026-04-02,Cebu,30.6,0,56
2026-04-03,Manila,29.3,11.3,58
2026-04-03,Cebu,28.2,0,64
2026-04-04,Manila,30.3,0,79
2026-04-04,Cebu,28.1,0,64
2026-04-05,Manila,29.0,13.8,78
2026-04-05,Cebu,28.6,0,85
2026-04-06,Manila,28.2,0,70
2026-04-06,Cebu,27.4,0,87
2026-04-07,Manila,27.1,2.2,71
2026-04-07,Cebu,28.3,0,76
2026-04-08,Manila,27.8,0,66
2026-04-08,Cebu,27.3,0,95
2026-04-09,Manila,27.9,0.2,89
2026-04-09,Cebu,28.6,0,66
2026-04-10,Manila,28.5,0,84
2026-04-10,Cebu,26.6,0,90
2026-04-11,Manila,28.3,13.4,57
2026-04-11,Cebu,26.9,0,57
2026-04-12,Manila,26.8,0,79
2026-04-12,Cebu,25.7,0,59
2026-04-13,Manila,26.6,5.6,66
2026-04-13,Cebu,26.9,0,95
2026-04-14,Manila,25.0,0,82
2026-04-14,Cebu,24.6,0,81
2026-04-15,Manila,25.4,7.4,59
2026-04-15,Cebu,26.3,0,84
2026-04-16,Manila,24.8,0,75
2026-04-16,Cebu,26.0,0,70
2026-04-17,Manila,25.9,14.3,84
2026-04-17,Cebu,24.9,0,64
2026-04-18,Manila,26.5,0,78
2026-04-18,Cebu,24.2,0,80
2026-04-19,Manila,25.8,6.7,80
2026-04-19,Cebu,24.3,0,64
2026-04-20,Manila,24.9,0,62
2026-04-20,Cebu,25.3,0,84
2026-04-21,Manila,25.3,0.1,68
2026-04-21,Cebu,24.8,0,86
2026-04-22,Manila,26.0,0,74
2026-04-22,Cebu,25.2,0,93
2026-04-23,Manila,25.0,6.8,58
2026-04-23,Cebu,25.3,0,83
2026-04-24,Manila,25.5,0,86
2026-04-24,Cebu,25.5,0,68
2026-04-25,Manila,27.2,11.6,70
2026-04-25,Cebu,26.7,0,91
2026-04-26,Manila,26.4,0,61
2026-04-26,Cebu,25.4,0,70
2026-04-27,Manila,26.8,6.0,72
2026-04-27,Cebu,26.0,0,77
2026-04-28,Manila,26.4,0,91
2026-04-28,Cebu,27.8,0,82
2026-04-29,Manila,26.9,9.7,58
2026-04-29,Cebu,25.4,0,69
2026-04-30,Manila,25.4,0,61
2026-04-30,Cebu,27.0,0,94
